ticker,date,open,high,low,close,volume
NFLX,12/28/20 19:01,520.59,520.64,520.59,520.63,197
NFLX,12/28/20 19:02,520.44,520.44,520.44,520.44,100
NFLX,12/28/20 19:03,520.64,520.74,520.64,520.74,2
NFLX,12/28/20 19:04,520.73,520.73,520.585,520.585,12
NFLX,12/28/20 19:05,520.585,520.585,520.35,520.5,562
NFLX,12/28/20 19:06,520.51,520.71,520.45,520.63,101
NFLX,12/28/20 19:07,520.695,520.84,520.695,520.84,125
NFLX,12/28/20 19:08,520.965,521.275,520.965,520.99,600
NFLX,12/28/20 19:09,521.065,521.065,521.065,521.065,100
NFLX,12/28/20 19:10,521.065,521.065,521.065,521.065,0
NFLX,12/28/20 19:11,521.37,521.37,521.37,521.37,3
NFLX,12/28/20 19:12,521.185,521.36,521.135,521.36,61
NFLX,12/28/20 19:13,521.32,521.37,521.32,521.37,94
NFLX,12/28/20 19:14,521.04,521.36,521.04,521.155,67
NFLX,12/28/20 19:15,521.04,521.06,520.96,520.96,11
NFLX,12/28/20 19:16,520.89,520.89,519.73,519.82,1296
NFLX,12/28/20 19:17,520.03,520.03,519.72,519.73,202
NFLX,12/28/20 19:18,519.66,519.9,519.66,519.9,200
NFLX,12/28/20 19:19,520.035,520.035,519.875,519.885,100
NFLX,12/28/20 19:20,519.86,520.115,519.85,520.08,57
NFLX,12/28/20 19:21,520.08,520.08,519.3,519.31,133
NFLX,12/28/20 19:22,519.42,519.82,519.42,519.82,101
NFLX,12/28/20 19:23,519.87,519.89,519.7,519.805,211
NFLX,12/28/20 19:24,519.91,519.98,519.85,519.98,206
NFLX,12/28/20 19:25,519.845,519.845,519.845,519.845,200
NFLX,12/28/20 19:26,519.95,520.13,519.95,520.1,501
NFLX,12/28/20 19:27,520.11,520.11,520.1,520.11,118
NFLX,12/28/20 19:28,520.11,520.11,520.11,520.11,0
NFLX,12/28/20 19:29,520.11,520.11,520.11,520.11,0
NFLX,12/28/20 19:30,520.47,520.47,520.42,520.42,138
NFLX,12/28/20 19:31,520.14,520.45,520.14,520.3,108
NFLX,12/28/20 19:32,520.24,520.24,520.24,520.24,20
NFLX,12/28/20 19:33,520.27,520.27,520.27,520.27,9
NFLX,12/28/20 19:34,520.18,520.18,520.18,520.18,100
NFLX,12/28/20 19:35,520.455,520.63,520.455,520.63,212
NFLX,12/28/20 19:36,520.56,520.645,520.56,520.645,300
NFLX,12/28/20 19:37,520.975,521.17,520.89,521.13,558
NFLX,12/28/20 19:38,521.13,521.13,521.13,521.13,0
NFLX,12/28/20 19:39,521.46,521.46,521.28,521.3,306
NFLX,12/28/20 19:40,521.5,521.5,521.5,521.5,10
NFLX,12/28/20 19:41,521.8,521.8,521.67,521.67,416
NFLX,12/28/20 19:42,521.76,521.76,521.76,521.76,36
NFLX,12/28/20 19:43,521.77,521.77,521.63,521.67,154
NFLX,12/28/20 19:44,521.76,521.76,521.68,521.68,160
NFLX,12/28/20 19:45,521.68,521.68,521.68,521.68,0
NFLX,12/28/20 19:46,521.47,521.76,521.47,521.76,21
NFLX,12/28/20 19:47,521.77,521.77,521.715,521.715,35
NFLX,12/28/20 19:48,521.53,521.55,521.5,521.5,411
NFLX,12/28/20 19:49,521.5,521.575,521.49,521.575,300
NFLX,12/28/20 19:50,521.09,521.09,520.675,520.675,497
NFLX,12/28/20 19:51,520.81,520.81,520.81,520.81,109
NFLX,12/28/20 19:52,520.84,520.85,520.535,520.54,1438
NFLX,12/28/20 19:53,520.54,520.54,520.54,520.54,0
NFLX,12/28/20 19:54,520.475,520.49,520.39,520.39,880
NFLX,12/28/20 19:55,520.505,520.505,519.72,519.85,446
NFLX,12/28/20 19:56,519.745,519.79,519.34,519.405,718
NFLX,12/28/20 19:57,519.55,519.88,519.55,519.88,322
NFLX,12/28/20 19:58,519.93,519.93,519.75,519.75,101
NFLX,12/28/20 19:59,519.75,519.75,519.75,519.75,0
NFLX,12/28/20 20:00,519.9,520.095,519.9,520.095,336
NFLX,12/28/20 20:01,520.1,520.195,520.05,520.17,425
NFLX,12/28/20 20:02,519.92,519.92,519.92,519.92,100
NFLX,12/28/20 20:03,520.11,520.185,520.11,520.185,167
